iter	Poisson
0	-265.7257229
1	-618.4960226
2	-1038.259781
3	-1363.802111
4	-1678.74472
5	-1959.636928
6	-2213.999273
7	-2443.219866
8	-2648.994876
9	-2835.036419
10	-3000.615794
11	-3148.693509
12	-3280.721469
13	-3397.055605
14	-3500.250921
15	-3591.099095
16	-3671.145982
17	-3740.92735
18	-3801.398427
19	-3854.16829
20	-3899.86927
21	-3939.467654
22	-3973.616516
23	-4002.724541
24	-4027.711323
25	-4049.45656
26	-4067.821552
27	-4084.080945
28	-4097.592721
29	-4108.856674
30	-4119.045124
31	-4127.15885
32	-4134.261647
33	-4140.17639
34	-4145.467248
35	-4149.810528
36	-4154.632704
37	-4158.959497
38	-4161.815433
39	-4164.690028
40	-4166.811863
41	-4169.088744
42	-4170.700518
43	-4172.762487
44	-4174.577629
45	-4176.423171
46	-4177.600145
47	-4179.030695
48	-4180.259277
49	-4180.929955
50	-4181.846097
51	-4182.791236
52	-4183.610705
53	-4184.670269
54	-4185.034873
55	-4185.410221
56	-4186.339069
57	-4186.829133
58	-4187.266498
59	-4187.984108
60	-4188.332968
61	-4188.590952
62	-4188.796178
63	-4189.467378
64	-4189.900516
65	-4190.490145
66	-4190.832332
67	-4191.068075
68	-4191.487486
69	-4191.883924
70	-4192.080186
71	-4192.368369
72	-4192.662821
73	-4192.955993
74	-4193.17487
75	-4193.375801
76	-4193.571382
77	-4193.824736
78	-4194.028834
79	-4194.226522
80	-4194.376691
81	-4194.570106
82	-4194.821304
83	-4195.035034
84	-4195.197951
85	-4195.314421
86	-4195.447412
87	-4195.527598
88	-4195.856859
89	-4196.079974
90	-4196.232161
91	-4196.515111
92	-4196.672089
93	-4196.808254
94	-4196.966513
95	-4197.094032
96	-4197.273908
97	-4197.454694
98	-4197.559825
99	-4197.632865
100	-4197.75989
101	-4197.951014
102	-4198.138312
103	-4198.241378
104	-4198.481781
105	-4198.61602
106	-4198.855627
107	-4198.966714
108	-4199.076535
109	-4199.288043
110	-4199.3592
111	-4199.501092
112	-4199.593376
113	-4199.679126
114	-4199.857666
115	-4200.034169
116	-4200.099901
117	-4200.252983
118	-4200.425881
119	-4200.503722
120	-4200.576117
121	-4200.660955
122	-4200.735821
123	-4200.819946
124	-4200.876548
125	-4200.941546
126	-4201.062459
127	-4201.217274
128	-4201.262827
129	-4201.405083
130	-4201.503118
131	-4201.565002
132	-4201.721139
133	-4201.801676
134	-4201.851308
135	-4201.962902
136	-4202.024309
137	-4202.072361
138	-4202.233701
139	-4202.304783
140	-4202.373313
141	-4202.417889
142	-4202.472136
143	-4202.571076
144	-4202.63432
145	-4202.756041
146	-4202.856752
147	-4202.950435
148	-4203.005821
149	-4203.063257
150	-4203.118034
151	-4203.18218
152	-4203.271709
153	-4203.397721
154	-4203.488307
155	-4203.542784
156	-4203.595165
157	-4203.670192
158	-4203.736499
159	-4203.808913
160	-4203.92354
161	-4204.026728
162	-4204.103621
163	-4204.162239
164	-4204.2449
165	-4204.313859
166	-4204.393955
167	-4204.474323
168	-4204.524313
169	-4204.593586
170	-4204.626191
171	-4204.691918
172	-4204.746295
173	-4204.805081
174	-4204.841888
175	-4204.884834
176	-4204.910431
177	-4204.959455
178	-4205.010707
179	-4205.099489
180	-4205.167747
181	-4205.237371
182	-4205.312828
183	-4205.363094
184	-4205.412966
185	-4205.444321
186	-4205.465285
187	-4205.521629
188	-4205.56663
189	-4205.604188
190	-4205.664867
191	-4205.700177
192	-4205.76448
193	-4205.821007
194	-4205.877636
195	-4205.956755
196	-4206.057628
197	-4206.08571
198	-4206.1461
199	-4206.176297
200	-4206.212159
201	-4206.244594
202	-4206.291567
203	-4206.329997
204	-4206.429031
205	-4206.465777
206	-4206.499852
207	-4206.523591
208	-4206.537626
209	-4206.587727
210	-4206.658785
211	-4206.706519
212	-4206.72987
213	-4206.767902
214	-4206.8105
215	-4206.86535
216	-4206.919765
217	-4206.956691
218	-4206.996136
219	-4207.058173
220	-4207.104253
221	-4207.151469
222	-4207.204295
223	-4207.23345
224	-4207.277818
225	-4207.31359
226	-4207.341314
227	-4207.37504
228	-4207.401535
229	-4207.442514
230	-4207.468427
231	-4207.522344
232	-4207.551257
233	-4207.595508
234	-4207.615034
235	-4207.659476
236	-4207.693871
237	-4207.714815
238	-4207.73539
239	-4207.774593
240	-4207.798305
241	-4207.818445
242	-4207.847071
243	-4207.872676
244	-4207.903435
245	-4207.92972
246	-4207.955486
247	-4207.97316
248	-4208.006003
249	-4208.040591
250	-4208.059041
251	-4208.103614
252	-4208.14957
253	-4208.158206
254	-4208.177296
255	-4208.201513
256	-4208.229563
257	-4208.250279
258	-4208.273378
259	-4208.298261
260	-4208.35455
261	-4208.382567
262	-4208.400065
263	-4208.41594
264	-4208.430432
265	-4208.456727
266	-4208.479066
267	-4208.512058
268	-4208.534905
269	-4208.565195
270	-4208.579742
271	-4208.621656
272	-4208.645312
273	-4208.677755
274	-4208.707356
275	-4208.750255
276	-4208.791667
277	-4208.799496
278	-4208.827826
279	-4208.851212
280	-4208.880141
281	-4208.895062
282	-4208.911797
283	-4208.931974
284	-4208.947088
285	-4208.964351
286	-4208.988541
287	-4208.99664
288	-4209.020925
289	-4209.048657
290	-4209.072729
291	-4209.095802
292	-4209.121072
293	-4209.129211
294	-4209.165033
295	-4209.190503
296	-4209.218408
297	-4209.227431
298	-4209.276433
299	-4209.288927
300	-4209.309716
301	-4209.313936
302	-4209.338762
303	-4209.35966
304	-4209.363358
305	-4209.384123
306	-4209.412994
307	-4209.420431
308	-4209.446282
309	-4209.457774
310	-4209.482477
311	-4209.495669
312	-4209.511975
313	-4209.527775
314	-4209.540678
315	-4209.555963
316	-4209.581875
317	-4209.600241
318	-4209.611125
319	-4209.623366
320	-4209.641205
321	-4209.6723
322	-4209.682668
323	-4209.696203
324	-4209.699152
325	-4209.707273
326	-4209.710092
327	-4209.725682
328	-4209.73748
329	-4209.747415
330	-4209.768101
331	-4209.793948
332	-4209.803155
333	-4209.813249
334	-4209.821218
335	-4209.837222
336	-4209.859654
337	-4209.870553
338	-4209.883108
339	-4209.898581
340	-4209.926301
341	-4209.937021
342	-4209.951283
343	-4209.972816
344	-4209.979238
345	-4210.023305
346	-4210.042537
347	-4210.072148
348	-4210.094359
349	-4210.117131
350	-4210.129795
351	-4210.138679
352	-4210.153615
353	-4210.163722
354	-4210.176674
355	-4210.18559
356	-4210.203184
357	-4210.218507
358	-4210.234476
359	-4210.24551
360	-4210.262092
361	-4210.269206
362	-4210.287853
363	-4210.296408
364	-4210.308405
365	-4210.310823
366	-4210.321475
367	-4210.344811
368	-4210.353507
369	-4210.364944
370	-4210.381246
371	-4210.401893
372	-4210.416118
373	-4210.43682
374	-4210.44877
375	-4210.459833
376	-4210.481279
377	-4210.506701
378	-4210.528264
379	-4210.548134
380	-4210.555723
381	-4210.570577
382	-4210.57527
383	-4210.591848
384	-4210.604115
385	-4210.615444
386	-4210.626012
387	-4210.646353
388	-4210.652844
389	-4210.659948
390	-4210.668258
391	-4210.677119
392	-4210.700968
393	-4210.714168
394	-4210.726415
395	-4210.737634
396	-4210.746737
397	-4210.756725
398	-4210.763754
399	-4210.771657
400	-4210.778798
401	-4210.79173
402	-4210.804694
403	-4210.815997
404	-4210.828177
405	-4210.845972
406	-4210.853563
407	-4210.864382
408	-4210.874303
409	-4210.882003
410	-4210.897415
411	-4210.913913
412	-4210.924408
413	-4210.9417
414	-4210.955048
415	-4210.975112
416	-4210.9805
417	-4211.004239
418	-4211.017823
419	-4211.033143
420	-4211.040387
421	-4211.048575
422	-4211.067216
423	-4211.075322
424	-4211.082584
425	-4211.100926
426	-4211.11875
427	-4211.128153
428	-4211.150286
429	-4211.16149
430	-4211.167546
431	-4211.175218
432	-4211.180992
433	-4211.192338
434	-4211.20107
435	-4211.207661
436	-4211.208271
437	-4211.215975
438	-4211.224082
439	-4211.232747
440	-4211.258106
441	-4211.26472
442	-4211.270704
443	-4211.278943
444	-4211.290603
445	-4211.296114
446	-4211.313622
447	-4211.321949
448	-4211.334391
449	-4211.34203
450	-4211.349328
451	-4211.36112
452	-4211.37277
453	-4211.383172
454	-4211.408709
455	-4211.424806
456	-4211.433083
457	-4211.438754
458	-4211.446496
459	-4211.451589
460	-4211.463729
461	-4211.478573
462	-4211.487479
463	-4211.498379
464	-4211.5049
465	-4211.512676
466	-4211.539279
467	-4211.556543
468	-4211.5615
469	-4211.565468
470	-4211.582218
471	-4211.58815
472	-4211.604462
473	-4211.612313
474	-4211.623667
475	-4211.637268
476	-4211.640706
477	-4211.651379
478	-4211.66928
479	-4211.674674
480	-4211.681435
481	-4211.687813
482	-4211.691774
483	-4211.699249
484	-4211.710145
485	-4211.724222
486	-4211.731176
487	-4211.738387
488	-4211.746172
489	-4211.767212
490	-4211.77373
491	-4211.784602
492	-4211.789904
493	-4211.794133
494	-4211.798619
495	-4211.808319
496	-4211.819009
497	-4211.821147
498	-4211.825072
499	-4211.834931
500	-4211.845231
501	-4211.863221
502	-4211.874041
503	-4211.887369
504	-4211.896349
505	-4211.902897
506	-4211.915147
507	-4211.919678
508	-4211.927338
509	-4211.932449
510	-4211.936161
511	-4211.947426
512	-4211.957188
513	-4211.959848
514	-4211.966367
515	-4211.973507
516	-4211.980234
517	-4211.984102
518	-4211.990635
519	-4211.999781
520	-4212.013955
521	-4212.019046
522	-4212.039384
523	-4212.05122
524	-4212.062187
525	-4212.062361
526	-4212.072721
527	-4212.077873
528	-4212.083015
529	-4212.087547
530	-4212.091507
531	-4212.098588
532	-4212.104129
533	-4212.110819
534	-4212.116999
535	-4212.131995
536	-4212.143294
537	-4212.147134
538	-4212.151532
539	-4212.161521
540	-4212.167471
541	-4212.172529
542	-4212.181531
543	-4212.18955
544	-4212.196942
545	-4212.20667
546	-4212.21705
547	-4212.221677
548	-4212.225406
549	-4212.235901
550	-4212.241163
551	-4212.247894
552	-4212.255505
553	-4212.264644
554	-4212.273311
555	-4212.275605
556	-4212.282781
557	-4212.28999
558	-4212.300564
559	-4212.308051
560	-4212.308992
561	-4212.328498
562	-4212.334899
563	-4212.340393
564	-4212.342778
565	-4212.345587
566	-4212.353502
567	-4212.357461
568	-4212.368986
569	-4212.3724
570	-4212.375978
571	-4212.382098
572	-4212.384626
573	-4212.389322
574	-4212.39413
575	-4212.395221
576	-4212.401495
577	-4212.405715
578	-4212.413031
579	-4212.424415
580	-4212.431165
581	-4212.442385
582	-4212.457308
583	-4212.461948
584	-4212.462782
585	-4212.46477
586	-4212.467131
587	-4212.473898
588	-4212.477538
589	-4212.483882
590	-4212.487964
591	-4212.493703
592	-4212.506034
593	-4212.508326
594	-4212.510276
595	-4212.517954
596	-4212.522197
597	-4212.525247
598	-4212.528512
599	-4212.531656
600	-4212.534777
601	-4212.541089
602	-4212.548607
603	-4212.554387
604	-4212.558148
605	-4212.567849
606	-4212.574286
607	-4212.579394
608	-4212.584426
609	-4212.590974
610	-4212.597307
611	-4212.604887
612	-4212.6136
613	-4212.616776
614	-4212.623629
615	-4212.62724
616	-4212.633068
617	-4212.636938
618	-4212.639721
619	-4212.642264
620	-4212.652257
621	-4212.65426
622	-4212.659859
623	-4212.662377
624	-4212.668668
625	-4212.676003
626	-4212.683037
627	-4212.688237
628	-4212.697087
629	-4212.703549
630	-4212.712059
631	-4212.719186
632	-4212.722839
633	-4212.735097
634	-4212.738892
635	-4212.741973
636	-4212.745596
637	-4212.747413
638	-4212.751529
639	-4212.752343
640	-4212.759539
641	-4212.761738
642	-4212.767029
643	-4212.771574
644	-4212.773996
645	-4212.775043
646	-4212.77818
647	-4212.780473
648	-4212.7865
649	-4212.78845
650	-4212.793529
651	-4212.799771
652	-4212.802265
653	-4212.803248
654	-4212.80664
655	-4212.814169
656	-4212.817397
657	-4212.825682
658	-4212.830942
659	-4212.836513
660	-4212.842923
661	-4212.850309
662	-4212.854973
663	-4212.85847
664	-4212.863676
665	-4212.86815
666	-4212.870521
667	-4212.872985
668	-4212.885165
669	-4212.887093
670	-4212.888142
671	-4212.896511
672	-4212.901541
673	-4212.908969
674	-4212.91379
675	-4212.920796
676	-4212.924641
677	-4212.940809
678	-4212.943172
679	-4212.950519
680	-4212.952975
681	-4212.957464
682	-4212.96029
683	-4212.966126
684	-4212.968616
685	-4212.972428
686	-4212.974684
687	-4212.980594
688	-4212.988281
689	-4212.993897
690	-4212.996283
691	-4213.000375
692	-4213.008263
693	-4213.019189
694	-4213.021939
695	-4213.025435
696	-4213.030716
697	-4213.033507
698	-4213.040118
699	-4213.04674
700	-4213.052162
701	-4213.05526
702	-4213.060603
703	-4213.064421
704	-4213.068518
705	-4213.0722
706	-4213.079662
707	-4213.083059
708	-4213.087549
709	-4213.092315
710	-4213.09627
711	-4213.099543
712	-4213.101367
713	-4213.103366
714	-4213.106479
715	-4213.111921
716	-4213.115838
717	-4213.119736
718	-4213.124685
719	-4213.129624
720	-4213.13084
721	-4213.141333
722	-4213.15064
723	-4213.155459
724	-4213.156971
725	-4213.163687
726	-4213.170234
727	-4213.172379
728	-4213.1754
729	-4213.176912
730	-4213.179067
731	-4213.182962
732	-4213.185661
733	-4213.189121
734	-4213.194506
735	-4213.197393
736	-4213.201641
737	-4213.206001
738	-4213.212183
739	-4213.215717
740	-4213.218839
741	-4213.220923
742	-4213.22477
743	-4213.228304
744	-4213.233931
745	-4213.23706
746	-4213.240561
747	-4213.242647
748	-4213.24494
749	-4213.247833
750	-4213.252384
751	-4213.258665
752	-4213.263318
753	-4213.26508
754	-4213.269876
755	-4213.272619
756	-4213.278258
757	-4213.28094
758	-4213.282714
759	-4213.289806
760	-4213.294001
761	-4213.29923
762	-4213.302685
763	-4213.308724
764	-4213.311919
765	-4213.316363
766	-4213.318792
767	-4213.319009
768	-4213.324592
769	-4213.325473
770	-4213.330984
771	-4213.33297
772	-4213.335395
773	-4213.336979
774	-4213.337532
775	-4213.339242
776	-4213.340556
777	-4213.342547
778	-4213.344623
779	-4213.348434
780	-4213.353124
781	-4213.356957
782	-4213.358685
783	-4213.36257
784	-4213.365161
785	-4213.371665
786	-4213.374211
787	-4213.375829
788	-4213.377716
789	-4213.381518
790	-4213.383727
791	-4213.385461
792	-4213.388789
793	-4213.390244
794	-4213.392092
795	-4213.395719
796	-4213.399367
797	-4213.400423
798	-4213.402637
799	-4213.404229
800	-4213.406549
801	-4213.412219
802	-4213.413821
803	-4213.416046
804	-4213.420183
805	-4213.421836
806	-4213.425129
807	-4213.427793
808	-4213.429177
809	-4213.429954
810	-4213.432101
811	-4213.434407
812	-4213.443518
813	-4213.445924
814	-4213.45128
815	-4213.454915
816	-4213.462455
817	-4213.464011
818	-4213.467949
819	-4213.471412
820	-4213.476025
821	-4213.479884
822	-4213.485093
823	-4213.489561
824	-4213.494141
825	-4213.495456
826	-4213.497523
827	-4213.502782
828	-4213.506339
829	-4213.510701
830	-4213.514001
831	-4213.516673
832	-4213.520673
833	-4213.52277
834	-4213.523187
835	-4213.526456
836	-4213.52779
837	-4213.528925
838	-4213.533276
839	-4213.536569
840	-4213.540121
841	-4213.542573
842	-4213.546198
843	-4213.548946
844	-4213.550643
845	-4213.552533
846	-4213.55389
847	-4213.555862
848	-4213.556601
849	-4213.559071
850	-4213.564735
851	-4213.564869
852	-4213.571665
853	-4213.574842
854	-4213.577225
855	-4213.582406
856	-4213.584122
857	-4213.586148
858	-4213.587064
859	-4213.588623
860	-4213.593465
861	-4213.594541
862	-4213.597696
863	-4213.602191
864	-4213.606102
865	-4213.610008
866	-4213.618573
867	-4213.620175
868	-4213.622226
869	-4213.623178
870	-4213.625028
871	-4213.630877
872	-4213.633713
873	-4213.637728
874	-4213.641027
875	-4213.645165
876	-4213.650038
877	-4213.651714
878	-4213.655049
879	-4213.657153
880	-4213.657778
881	-4213.662689
882	-4213.662957
883	-4213.664476
884	-4213.667715
885	-4213.669639
886	-4213.6741
887	-4213.677671
888	-4213.682566
889	-4213.68938
890	-4213.691019
891	-4213.692739
892	-4213.695111
893	-4213.698385
894	-4213.702385
895	-4213.703782
896	-4213.705158
897	-4213.705354
898	-4213.708146
899	-4213.710252
900	-4213.713014
901	-4213.718748
902	-4213.723359
903	-4213.724333
904	-4213.726384
905	-4213.72788
906	-4213.732646
907	-4213.739161
908	-4213.742553
909	-4213.743977
910	-4213.745558
911	-4213.746597
912	-4213.751115
913	-4213.754059
914	-4213.755001
915	-4213.757377
916	-4213.759129
917	-4213.760636
918	-4213.762007
919	-4213.765116
920	-4213.766001
921	-4213.767812
922	-4213.772231
923	-4213.773216
924	-4213.773825
925	-4213.775053
926	-4213.775793
927	-4213.776552
928	-4213.7796
929	-4213.781286
930	-4213.782051
931	-4213.783152
932	-4213.786529
933	-4213.788584
934	-4213.790841
935	-4213.794695
936	-4213.795562
937	-4213.799195
938	-4213.802907
939	-4213.80334
940	-4213.804269
941	-4213.805855
942	-4213.806897
943	-4213.808583
944	-4213.810955
945	-4213.812345
946	-4213.813038
947	-4213.813853
948	-4213.814723
949	-4213.816698
950	-4213.818073
951	-4213.819152
952	-4213.821035
953	-4213.825478
954	-4213.826895
955	-4213.830838
956	-4213.832389
957	-4213.833171
958	-4213.833909
959	-4213.836027
960	-4213.83796
961	-4213.839399
962	-4213.840216
963	-4213.842065
964	-4213.845919
965	-4213.85004
966	-4213.851666
967	-4213.851959
968	-4213.85361
969	-4213.855199
970	-4213.856487
971	-4213.858717
972	-4213.860498
973	-4213.861846
974	-4213.863225
975	-4213.864692
976	-4213.866472
977	-4213.867481
978	-4213.872208
979	-4213.872918
980	-4213.874352
981	-4213.877536
982	-4213.881056
983	-4213.883294
984	-4213.886869
985	-4213.888426
986	-4213.889418
987	-4213.890912
988	-4213.891543
989	-4213.897181
990	-4213.899624
991	-4213.900195
992	-4213.901303
993	-4213.902678
994	-4213.904049
995	-4213.9052
996	-4213.906232
997	-4213.906852
998	-4213.90852
999	-4213.909526
